train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual
04828_2025-11-02,BANDRATERMIN,,,,
04828_2025-11-02,BORIVALI49KM,2025-11-02 11:00,,2025-11-02 11:02,
04828_2025-11-02,VAPI43KMHR,2025-11-02 13:37,,2025-11-02 13:39,
04828_2025-11-02,VALSAD,2025-11-02 16:59,,2025-11-02 16:59,
04828_2025-11-02,ADSBYGOOGLEW,,,,
04828_2025-11-02,SURAT,2025-11-02 14:53,,2025-11-02 14:58,
04828_2025-11-02,BHARUCH,2025-11-02 15:09,,2025-11-02 15:11,
04828_2025-11-02,VADODARA,2025-11-02 16:20,,2025-11-02 16:30,
04828_2025-11-02,SABARMATIBG,2025-11-02 18:30,,2025-11-02 18:32,
04828_2025-11-02,MAHESANA,2025-11-02 20:08,,2025-11-02 20:10,
04828_2025-11-02,PALANPUR,2025-11-02 22:05,,2025-11-02 22:07,
04828_2025-11-02,ABUROAD,2025-11-02 22:40,,,
04828_2025-11-02,PINDWARA,,,,
04828_2025-11-02,JAWAIBANDH,,,,
04828_2025-11-02,FALNA,,,,
04828_2025-11-02,RANI,,,,
04828_2025-11-02,MARWAR,,,,
04828_2025-11-02,PALIMARWAR,,,,
04828_2025-11-02,LUNI,,,,
04828_2025-11-02,BHAGATKIKOTH,,,,
