train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual
12303_2025-10-21,HWH,,,2025-10-21 08:00,2025-10-21 08:00
12303_2025-10-21,BWN,2025-10-21 08:55,2025-10-21 08:55,2025-10-21 08:58,2025-10-21 08:58
12303_2025-10-21,DGR,2025-10-21 09:47,2025-10-21 09:57,2025-10-21 09:49,2025-10-21 10:00
12303_2025-10-21,ASN,2025-10-21 10:21,2025-10-21 10:21,2025-10-21 10:26,2025-10-21 10:33
12303_2025-10-21,CRJ,2025-10-21 10:48,2025-10-21 10:56,2025-10-21 10:50,2025-10-21 10:58
12303_2025-10-21,JMT,2025-10-21 11:03,2025-10-21 11:08,2025-10-21 11:05,2025-10-21 11:10
12303_2025-10-21,MDP,2025-10-21 11:30,2025-10-21 11:41,2025-10-21 11:32,2025-10-21 11:44
12303_2025-10-21,JSME,2025-10-21 11:53,2025-10-21 12:04,2025-10-21 11:57,2025-10-21 12:09
12303_2025-10-21,JAJ,2025-10-21 13:12,2025-10-21 13:08,2025-10-21 13:17,2025-10-21 13:19
12303_2025-10-21,MKA,2025-10-21 14:22,2025-10-21 14:45,2025-10-21 14:24,2025-10-21 14:48
12303_2025-10-21,BARH,2025-10-21 14:40,2025-10-21 15:06,2025-10-21 14:42,2025-10-21 15:08
12303_2025-10-21,BKP,2025-10-21 14:55,2025-10-21 15:33,2025-10-21 14:57,2025-10-21 15:35
12303_2025-10-21,PNBE,2025-10-21 15:45,2025-10-21 16:10,2025-10-21 15:55,2025-10-21 16:18
12303_2025-10-21,DNR,2025-10-21 16:05,2025-10-21 16:32,2025-10-21 16:07,2025-10-21 16:35
12303_2025-10-21,ARA,2025-10-21 16:35,2025-10-21 17:15,2025-10-21 16:40,2025-10-21 17:20
12303_2025-10-21,BXR,2025-10-21 17:18,2025-10-21 17:18,2025-10-21 17:20,2025-10-21 17:20
12303_2025-10-21,DDU,2025-10-21 19:25,2025-10-21 19:17,2025-10-21 19:35,2025-10-21 19:36
12303_2025-10-21,NYN,2025-10-21 21:16,2025-10-21 21:16,2025-10-21 21:16,2025-10-21 21:16
12303_2025-10-21,PRYJ,2025-10-21 21:40,2025-10-21 21:40,2025-10-21 21:45,2025-10-21 21:45
