epoch,train_MAE,val_MAE,val_RMSE,val_MAPE
1,15.779274,14.554393,14.554462,0.909650
2,15.331422,14.509874,14.510150,0.906867
3,14.858501,14.458035,14.458774,0.903627
4,14.776690,14.403315,14.404839,0.900207
5,14.269559,14.332078,14.334982,0.895755
6,14.490563,14.249558,14.254736,0.890597
7,14.294264,14.155126,14.163816,0.884695
8,13.828829,14.061454,14.074477,0.878841
9,13.588511,13.965849,13.983722,0.872866
10,13.951430,13.872207,13.894938,0.867013
11,13.777667,13.761697,13.790522,0.860106
12,13.315392,13.626346,13.663588,0.851647
13,13.107966,13.473555,13.521100,0.842097
14,13.170113,13.317369,13.374857,0.832336
15,12.951715,13.149196,13.216660,0.821825
16,12.592188,12.987524,13.061169,0.811720
17,12.667144,12.796028,12.876736,0.799752
18,12.480425,12.671331,12.742908,0.791958
19,12.470320,12.455043,12.527394,0.778440
20,12.068908,12.180218,12.257692,0.761264
21,11.983617,11.813560,11.908165,0.738347
22,11.742626,11.462450,11.569239,0.716403
23,11.248262,11.104894,11.226727,0.694056
24,10.948556,10.747866,10.888453,0.671742
25,11.243524,10.475506,10.618502,0.654719
26,11.007574,10.200575,10.347378,0.637536
27,10.847405,9.916124,10.078143,0.619758
28,10.487438,9.733781,9.895754,0.608361
29,10.496969,9.599689,9.753632,0.599981
30,10.401048,9.514925,9.650723,0.594683
